match_attendance,match_home_team_Brisbane Lions,match_home_team_Carlton,match_home_team_Collingwood,match_home_team_Essendon,match_home_team_Geelong,match_home_team_Gold Coast,match_home_team_Hawthorn,match_home_team_Port Adelaide,match_home_team_Richmond,match_home_team_Sydney,match_home_team_West Coast,Capacity,n_games,playoff,start_time_Other Night,start_time_Sunday Afternoon,start_time_Sunday Night,season_Winter,match_weather_type_Overcast,match_weather_type_Storm,match_weather_type_Sunny,match_weather_type_Windy
42.723,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,1,0,0
66.727,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,1,0,0
24.508,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,0,1,0,0
35.925,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,0,0,1,0
36.788,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,0,1,1,1,0,0,0
37.165,0,0,0,1,0,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,1,0
76.98,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,1,0,0,0
22.34,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,0,0,0,1
30.71,0,0,0,0,0,0,0,0,0,1,0,83.5,4,0,1,0,0,1,0,0,0,0
26.144,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
19.226,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,0,1,0,1,0,0,1,0
57.095,0,0,0,1,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,1,0
29.431,0,0,0,0,0,0,0,0,0,1,0,48,4,0,0,0,0,1,0,0,1,0
84.401,0,0,0,0,1,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
32.587,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,0,0,1,0
29.321,0,0,0,0,0,0,0,0,0,0,0,45,3,0,0,0,1,1,0,1,0,0
59.277,0,0,0,1,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
44.716,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,1,0,0
14.113,0,0,0,0,0,0,0,1,0,0,0,45,4,0,1,0,0,1,0,0,0,0
25.403,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,0,1,0,1,0,0,1,0
48.211,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
45.172,0,0,0,0,1,0,0,0,0,0,0,56.347,1,0,1,0,0,1,0,0,1,0
15.532,0,0,0,0,0,0,1,0,0,0,0,19,4,0,0,0,0,1,0,0,1,0
42.159,0,0,1,0,0,0,0,0,0,0,0,100.024,4,0,1,0,0,1,0,0,1,0
36.554,0,0,0,0,0,0,0,0,0,1,0,48,4,0,1,0,0,1,0,0,0,0
21.086,0,0,0,0,0,0,0,1,0,0,0,45,3,0,0,1,0,1,0,0,1,0
28.785,0,0,0,1,0,0,0,0,0,0,0,56.347,3,0,0,1,0,1,0,0,1,0
32.007,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,1,0,1,0,0,1,0
24.099,0,0,0,0,1,0,0,0,0,0,0,36,5,0,0,0,0,1,1,0,0,0
76.218,0,0,0,0,0,0,1,0,0,0,0,100.024,5,0,0,0,0,1,1,0,0,0
38.121,0,0,0,0,0,0,0,0,0,0,0,45,5,0,0,0,0,1,0,0,1,0
24.789,1,0,0,0,0,0,0,0,0,0,0,41.974,5,0,1,0,0,1,0,0,0,0
37.674,0,0,0,0,0,0,0,0,1,0,0,56.347,2,0,0,1,0,1,1,0,0,0
63.608,0,0,0,0,1,0,0,0,0,0,0,100.024,1,1,1,0,0,1,0,0,1,0
66.545,0,0,1,0,0,0,0,0,0,0,0,100.024,2,1,1,0,0,1,0,0,1,0
41.596,0,0,0,0,0,0,0,0,0,1,0,83.5,1,1,0,1,0,1,0,0,1,0
45.056,0,0,0,0,1,0,0,0,0,0,0,100.024,1,1,1,0,0,1,0,0,1,0
95.241,0,0,1,0,0,0,0,0,0,0,0,100.024,1,1,1,0,0,1,0,0,1,0
100.016,0,0,1,0,0,0,0,0,0,0,0,100.024,1,1,0,0,0,1,1,0,0,0
93.853,0,0,1,0,0,0,0,0,0,0,0,100.024,1,1,0,0,0,0,0,0,1,0
60.654,0,1,0,0,0,0,0,0,0,0,0,100.024,1,0,1,0,0,0,0,0,0,0
42.869,0,0,0,0,1,0,0,0,0,0,0,100.024,1,0,1,0,0,0,0,0,1,0
35.773,0,0,1,0,0,0,0,0,0,0,0,56.347,3,0,0,0,0,0,1,0,0,0
42.536,0,0,0,0,0,0,0,0,0,0,0,45,3,0,1,0,0,0,0,0,0,0
23.373,1,0,0,0,0,0,0,0,0,0,0,41.974,3,0,1,0,0,0,0,0,1,0
42.617,0,0,0,1,0,0,0,0,0,0,0,56.347,3,0,0,1,0,0,1,0,0,0
35.878,0,0,0,0,0,0,0,0,0,0,1,43.5,3,0,0,0,1,0,0,0,1,0
23.214,0,0,0,0,0,0,0,1,0,0,0,45,4,0,0,0,0,1,0,0,1,0
27.914,0,0,0,0,0,1,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,1,0
28.082,0,0,0,0,0,0,0,0,0,1,0,83.5,3,0,0,1,0,1,0,0,1,0
49.905,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,0,1,1,1,0,0,0
88.181,0,0,1,0,0,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
33.414,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,1,0,1,0,0
46.368,0,0,0,0,0,0,0,0,1,0,0,100.024,4,0,1,0,0,1,0,0,1,0
37.288,0,0,0,0,0,0,0,0,0,0,1,43.5,4,0,1,0,0,1,0,0,1,0
22.42,0,0,0,0,1,0,0,0,0,0,0,36,3,0,0,1,0,1,1,0,0,0
58.05,0,0,0,0,0,0,0,0,1,0,0,100.024,1,0,1,0,0,1,0,0,0,0
78.065,0,1,0,0,0,0,0,0,0,0,0,100.024,4,0,0,0,0,1,0,0,1,0
15.063,0,0,0,0,0,0,1,0,0,0,0,19,4,0,0,0,0,1,0,0,1,0
25.3,0,0,0,0,0,0,0,0,0,1,0,48,4,0,1,0,0,1,0,0,1,0
33.143,0,0,0,0,0,0,0,1,0,0,0,45,4,0,1,0,0,1,0,0,0,0
12.111,0,0,0,0,0,1,0,0,0,0,0,41.974,2,0,0,1,0,1,0,0,1,0
22.543,1,0,0,0,0,0,0,0,0,0,0,41.974,1,0,1,0,0,1,0,0,0,0
21.287,0,0,0,0,0,0,0,1,0,0,0,45,2,0,0,0,0,1,0,0,1,0
37.607,0,1,0,0,0,0,0,0,0,0,0,56.347,2,0,1,0,0,1,0,0,1,0
